record_id,offense,incident_id,block_number,street_name,agency,date_reported,hour_reported,reporting_officer,address,lon,lat
3374,Disorderly Conduct,202300018641,800,"W MAIN ST, 305",CPD,2023-06-05T17:48:44Z,1348,"Nash, Darius","800 W MAIN ST, 305 Charlottesville VA",-78.4903331,38.0314795
3375,Lost/FoundProperty,202300018633,300,10TH ST NW,CPD,2023-06-05T13:42:38Z,0942,"Hopiane, Sayd",300 10TH ST NW Charlottesville VA,-78.4931971,38.0352288
3376,Larceny - Theft from Building,202300018618,2100,MICHIE DR,CPD,2023-06-05T12:21:50Z,0821,"Hopiane, Sayd",2100 MICHIE DR Charlottesville VA,-78.483828,38.062986
3377,Fraud-false pretense,202380000418,800,ALTAVISTA AVE,CPD,2023-06-05T11:14:10Z,0714,"Miller, Tiffany ",800 ALTAVISTA AVE Charlottesville VA,-78.48036689999999,38.0195562
3378,Assault Simple,202300018593,100,"MAYWOOD LN, B",CPD,2023-06-05T05:31:01Z,0131,"Payne, Katherine","100 MAYWOOD LN, B Charlottesville VA",-78.5090105,38.029447
3379,Larceny - From Motor Vehicle,202300018575,1100,SEMINOLE,CPD,2023-06-05T00:58:09Z,2058,"Venereo, Arturo",1100 SEMINOLE Charlottesville VA,-78.4880458,38.0662089
3380,Larceny - Theft from Building,202380000417,1900,FENDALL AVE,CPD,2023-06-05T00:10:54Z,2010,"Miller, Tiffany ",1900 FENDALL AVE Charlottesville VA,-78.501892,38.0458696
3382,Drunkeness DIP,202300018560,800,CHERRY AVE,CPD,2023-06-04T19:53:06Z,1553,"Green, Bryan",800 CHERRY AVE Charlottesville VA,-78.4933842,38.0283131
3383,Accident Private Property,202300018557,1100,5TH ST SW,CPD,2023-06-04T18:34:22Z,1434,"Vlasis, Christopher",1100 5TH ST SW Charlottesville VA,-78.497806,38.01713
3384,Misc - Criminal Call,202300018558,100,STRATFORD CT,CPD,2023-06-04T18:30:50Z,1430,"Green, Bryan",100 STRATFORD CT Charlottesville VA,-78.5087539,38.026127
3385,Assist Citizen - Misc,202300018555,4000,"CITY WALK WAY, 226",CPD,2023-06-04T18:12:27Z,1412,"Perkins, Ceaser","4000 CITY WALK WAY, 226 Charlottesville VA",-78.4696591,38.025822
3386,Fraud-false pretense,202300018548,800,"W MAIN ST, 106",CPD,2023-06-04T16:21:43Z,1221,"Perkins, Ceaser","800 W MAIN ST, 106 Charlottesville VA",-78.4903331,38.0314795
3387,Assault Intimidation,202300018547,300,VALLEY RD,CPD,2023-06-04T15:58:50Z,1158,"Eckenroth, Rachel",300 VALLEY RD Charlottesville VA,-78.5053258,38.0306749
3388,Death Investigation - DOA,202300018544,2000,"MICHIE DR, C",CPD,2023-06-04T14:50:09Z,1050,"Hopiane, Sayd","2000 MICHIE DR, C Charlottesville VA",-78.4882916,38.0585884
3389,Disorderly Conduct,202300018539,100,W MARKET ST,CPD,2023-06-04T11:56:38Z,0756,"Green, Bryan",100 W MARKET ST Charlottesville VA,-78.4825371,38.0319643
3390,Assist Citizen - Mental/TDO/ECO,202300018538,100,W MARKET ST,CPD,2023-06-04T11:32:43Z,0732,"Shiflett, Tammy",100 W MARKET ST Charlottesville VA,-78.4825371,38.0319643
3391,Assault Simple,202300018526,700,"PROSPECT AVE, A",CPD,2023-06-04T06:29:33Z,0229,"Bise, Collin","700 PROSPECT AVE, A Charlottesville VA",-78.49445419999999,38.0246317
3392,Assault Intimidation,202300018501,100,"14TH ST NW, 1",CPD,2023-06-04T03:24:01Z,2324,"Payne, Katherine","100 14TH ST NW, 1 Charlottesville VA",-78.4993999,38.03418449999999
3393,Driving Under the Influence,202300018496,500,CHERRY AVE,CPD,2023-06-04T02:32:58Z,2232,"O'Briant, Landon",500 CHERRY AVE Charlottesville VA,-78.4909553,38.0260508
3394,Assist Citizen - Welfare Check,202300018491,1600,WESTWOOD RD,CPD,2023-06-04T01:52:17Z,2152,"Curry, Brian",1600 WESTWOOD RD Charlottesville VA,-78.487512,38.0447147
3395,Assault Simple,202300018484,800,"HARDY DR, B",CPD,2023-06-04T01:34:07Z,2134,"O'Briant, Landon","800 HARDY DR, B Charlottesville VA",-78.4904109,38.0332508
3396,Lost/FoundProperty,202300018478,200,ELLIEWOOD AVE,CPD,2023-06-04T01:02:40Z,2102,"Payne, Katherine",200 ELLIEWOOD AVE Charlottesville VA,-78.50035009999999,38.03625
3397,Shots Fired/Illegal Hunting,202300018477,1100,FOREST HILLS AVE,CPD,2023-06-04T01:01:08Z,2101,"Alfonso, Sean",1100 FOREST HILLS AVE Charlottesville VA,-78.4985085,38.0251365
3398,Motor Vehicle Theft,202300018465,200,RIDGE MCINTIRE RD,CPD,2023-06-03T22:55:13Z,1855,"Bentz, Benjamin ",200 RIDGE MCINTIRE RD Charlottesville VA,-78.4838891,38.0312205
3399,Vandalism,202300018458,1100,"FOREST ST, 10",CPD,2023-06-03T22:02:57Z,1802,"Venereo, Arturo","1100 FOREST ST, 10 Charlottesville VA",-78.4836752,38.0401068
