RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
1,Shots Fired/Illegal Hunting,202400003541,2100,JEFFERSON PARK AVE,CPD,2024/01/30 03:50:22+00,2250,"Brannon, Devin"
4,Weapons Violations,202400003498,,NASSAU ST / VINE ST,CPD,2024/01/29 21:41:19+00,1641,"Pleasants, Bradley"
35,Shots Fired/Illegal Hunting,202400003008,100,"STEWART CIR, B",CPD,2024/01/27 07:10:20+00,0210,"Crowley, Raeann"
38,Weapons Violations,202400002943,1200,EMMET ST N,CPD,2024/01/27 03:06:21+00,2206,"Moriarty, Thomas"
120,Shots Fired/Illegal Hunting,202400002266,700,VILLAGE RD,CPD,2024/01/22 03:19:47+00,2219,"Phillips, Nicole"
122,Shots Fired/Illegal Hunting,202400002260,800,STONEHENGE AVE,CPD,2024/01/22 02:15:03+00,2115,"Lowry, Brent"
154,Weapons Violations,202400001928,100,MCINTIRE PARK DR,CPD,2024/01/20 01:13:07+00,2013,"Ritter, Kobe"
241,Shots Fired/Illegal Hunting,202400001153,900,CHARLTON AVE,CPD,2024/01/13 05:58:46+00,0058,"Darby, Michael"
268,Shots Fired/Illegal Hunting,202400001009,800,HARDY DR,CPD,2024/01/11 20:16:09+00,1516,"TROCHE, NICHOLAS"
283,Shots Fired/Illegal Hunting,202400000836,,ESTES ST / 9TH ST SW,CPD,2024/01/10 05:13:42+00,0013,"Bise, Collin"
304,Shots Fired/Illegal Hunting,202400000613,,1ST ST S / LANKFORD AVE,CPD,2024/01/08 01:19:48+00,2019,"Lowry, Ryan"
415,Shots Fired/Illegal Hunting,202300040043,900,CHARLTON AVE,CPD,2023/12/31 00:48:56+00,1948,"Bland, Johnnà"
442,Shots Fired/Illegal Hunting,202380000946,800,HARDY DR,CPD,2023/12/29 10:53:29+00,0553,"Miller, Tiffany "
443,Shots Fired/Illegal Hunting,202300039919,800,HARDY DR,CPD,2023/12/29 10:42:27+00,0542,"Khaleefa, Hamzeh"
517,Shots Fired/Illegal Hunting,202300039526,500,12TH ST NW,CPD,2023/12/23 01:26:08+00,2026,"Love-Baker, Sydney"
631,Shots Fired/Illegal Hunting,202300038740,300,RIVERSIDE AVE,CPD,2023/12/14 05:12:49+00,0012,"Wells, Matthew"
645,Robbery - Armed,202300038642,2100,ANGUS RD,CPD,2023/12/13 12:30:28+00,0730,"Pendleton, Eric"
681,Shots Fired/Illegal Hunting,202300038321,1400,FOREST RIDGE RD,CPD,2023/12/10 02:41:17+00,2141,"Whitten, Tobyn"
710,Shots Fired/Illegal Hunting,202300038104,700,PROSPECT AVE,CPD,2023/12/08 06:19:51+00,0119,"Blackwell, Ryan"
901,Shots Fired/Illegal Hunting,202300036777,700,PROSPECT AVE,CPD,2023/11/25 01:28:32+00,2028,"Venereo, Arturo"
914,Shots Fired/Illegal Hunting,202300036737,700,SHAMROCK RD,CPD,2023/11/24 04:47:04+00,2347,"Blackwell, Ryan"
1017,Weapons Violations,202300035956,900,RIVES ST,CPD,2023/11/15 17:11:19+00,1211,"Houchens, Jamell"
1019,Weapons Violations,202300035950,800,HARDY DR,CPD,2023/11/15 16:04:17+00,1104,"Raines, Christopher"
1022,Shots Fired/Illegal Hunting,202300035925,700,PINE ST,CPD,2023/11/15 10:01:18+00,0501,"Blackwell, Ryan"
1074,Shots Fired/Illegal Hunting,202300035600,800,"HARDY DR, D",CPD,2023/11/12 00:42:51+00,1942,"Moriarty, Thomas"
1170,Robbery - Armed,202300034991,1000,RIDGE ST,CPD,2023/11/05 13:30:35+00,0830,"Green, Bryan"
1228,Shots Fired/Illegal Hunting,202300034701,100,OBSERVATORY AVE,CPD,2023/11/02 08:03:48+00,0403,"Pinkman, Jackson"
1242,Robbery - Armed,202300034623,1100,EMMET ST N,CPD,2023/11/01 14:41:35+00,1041,"Nash, Darius"
1286,Shots Fired/Illegal Hunting,202300034329,100,"14TH ST NW, 1",CPD,2023/10/29 07:33:46+00,0333,"O'Briant, Landon"
1312,Shots Fired/Illegal Hunting,202300034186,500,CHERRY AVE,CPD,2023/10/28 02:55:38+00,2255,"Hannay, Jacob"
1576,Weapons Violations,202300032499,1200,LEE ST,CPD,2023/10/12 04:09:51+00,0009,"Blackwell, Kyle"
1696,Shots Fired/Illegal Hunting,202300031755,2000,JEFFERSON PARK AVE,CPD,2023/10/05 05:27:23+00,0127,"Blackwell, Ryan"
1763,Shots Fired/Illegal Hunting,202300031413,1100,CHERRY AVE,CPD,2023/10/02 02:16:18+00,2216,"Bentz, Benjamin "
1828,Shots Fired/Illegal Hunting,202300030975,800,"HARDY DR, B",CPD,2023/09/28 01:32:12+00,2132,"Bland, Johnnà"
1907,Weapons Violations,202300030466,200,W MAIN ST,CPD,2023/09/23 05:21:57+00,0121,"Wells, Matthew"
1916,Weapons Violations,202300030411,1200,6TH ST SE,CPD,2023/09/22 19:30:22+00,1530,"Green, Bryan"
2002,Weapons Violations,202300029803,800,"HARDY DR, A",CPD,2023/09/16 21:53:56+00,1753,"Darby, Michael"
2067,Shots Fired/Illegal Hunting,202300029452,,MADISON AVE / PRESTON AVE,CPD,2023/09/13 16:57:12+00,1257,"Love-Baker, Sydney"
2105,Shots Fired/Illegal Hunting,202300029175,800,"HARDY DR, J",CPD,2023/09/11 08:42:50+00,0442,"O'Briant, Landon"
2131,Robbery - Armed,202300029037,1000,BELMONT AVE,CPD,2023/09/09 19:02:19+00,1502,"Pendleton, Eric"
2154,Robbery - Armed,202300028878,,7 1/2 ST SW / PROSPECT AVE,CPD,2023/09/08 14:20:37+00,1020,"Raines, Christopher"
2443,Shots Fired/Illegal Hunting,202300026662,200,8TH ST NW,CPD,2023/08/18 07:55:26+00,0355,"Miller, Devin"
2495,Shots Fired/Illegal Hunting,202300026306,700,PROSPECT AVE,CPD,2023/08/15 05:06:27+00,0106,"O'Briant, Landon"
